country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    World,297478.5297,327556.8084,309875.038,310025.6917,356393.0633,393060.13,390138.0215,393977.1008,428994.7169,433274.2149,464885.6363,488512.4311,494096.4675,483501.5154,502461.7418,555006.4063,572444.6785,600971.9159,615491.3459,613717.5705,687705.5022,740596.9017,744211.0947,807025.1559,858957.2545,904082.906,954127.6382,1019742.561,1079904.854,1036628.882,1136293.452,1200744.917,1298094.176,1410876.66,1472994.51,1410920.153,1446790.797,1512123.08,1583035.369,1607722.164
        Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03417161,0.0401792,11.63923287,13.66824066,26.7865133,23.16249831,20.83992673,21.28167636,18.61179446,21.62074802,11.39600927,19.00863488,23.66506466,3.809193142,1.921004455,1.235217721,3.38628,2.560412599,0
        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Aruba,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Australia,46720.30704,55644.6088,51058.9992,67330.19711,84238.5302,97709.86071,101343.0745,111500.8611,109809.9176,108763.8254,113974.4448,132478.9227,139157.819,145231.5471,144624.1743,150687.9816,155266.9774,173676.6567,183860.8988,189444.0989,206090.0822,211839.7312,225239.4115,230107.2125,241783.9823,256099.6823,256248.4941,269393.5409,277990.4566,288526.3356,322554.6453,313618.2181,332364.102,370592.2128,413414.7516,432489.1239,429130.3853,417707.1468,421020.6906,433135.0775
        Austria,26.45544,21.495045,16.53465,11.574255,8.81848,9.92079,7.165015,4.6848175,3.8029695,2.2597355,1.1574255,1.24009875,1.322772,0.162590725,0,0,0,0,0,0,0,0,0,0,2.679296732,5.921719551,0.896067799,2.035746108,2.090420684,3.183691742,2.713997451,1.958363946,3.010298379,1.516668329,0.598003175,6.446419111,0.037368309,1.40324063,3.032124117,0.126070092
        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20951706,47.9264326,40.3174898,183.7417005,941.6511626,3574.759637
        Belgium,529.1088,867.51797,766.10545,683.4322,1299.62349,1399.9337,1302.93042,1091.2869,1048.29681,975.54435,798.07244,767.758915,737.44539,728.62691,1070.34301,901.68958,1297.41887,1335.007641,1427.49145,1274.27036,1570.79175,1526.798558,1575.399406,1059.31991,1448.43534,1354.73899,1188.29018,1620.3957,1337.10203,976.64666,665.79524,735.24077,691.14837,658.07907,613.98667,88.1848,72.75246,97.00328,51.257415,94.79866
        Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,46.87347296,44.05162004,42.99014,44.29453517,34.17165,42.86853166,40.17356083,37.47859,33.06934,27.55778,27.12347,22.44526,19.34009473,24.69579504,21.23744324,19.43110998,23.13479175,14.16642493,31.7314732,16.51646762,5.73421662,14.87510025,9.695698298,8.124355393,2.145899946,1.96321411,1.41205911
        Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,63,157,557,481.70947,329.59069,349.43227,373.68309,395.72929,171.3375549,301.4950127,389.7349282,338.5524703,223.9585273,271.099391,230.4105396,290.6181088,266.1384084,222.7561937,182.1926143
        Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44680812,32.91583971,42.15319641,94.61191656,26.69407468,31.6935102,44.86101431,56.86312611,56.45598612,62.65802255,97.89614779,237.6534515,270.7025693,286.0991812,286.4380886,401.8497461,359.5734812
        Brazil,0,0,0,0,0,0,0,0,0,0.01763696,0.881076383,0.4850164,0.33510224,0.1653465,0.616135072,0.521016742,0.536160277,0.558066484,0.120801051,0.372460628,0.728495735,0.830700816,0.959556446,0.842964015,0.45525403,0.607551384,0.407252839,1.147756037,1.026301316,0.153269592,0.460454729,0.715654926,0.24854004,0.337213164,1.04171161,2.152313186,1.70577953,0.618402524,0.675055746,1.269523813
        British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542887675,0.291362579,6.548834733,2.074486352,2.944186124,6.247447747,8.235861766,19.66002954,19.14107302,19.27818936,54.32921081,54.88422577,61.12166697,56.66698699,64.69346608,56.18996124,46.41098232,55.98203691,59.38088855,61.93968295
        Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004442309,0.06503629,0.155756403,0.440924,0.7275246,0.567292818,0.359821531,0.171394985,0.110231,0.054343883,0.529909077,1.712595113,4.996964134,6.963189755,5.530931806,4.001507105,2.214675713,3.654365987,1.877249362
        Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
