country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    World,150.131648,166.209123,164.416463,193.988293,202.071293,216.120917,216.3757632,249.2022405,258.2574465,278.3266903,292.0516139,260.694002,400.7951168,400.6728138,401.6361803,400.8436167,430.2208286,423.9481404,416.3974935,452.069076,499.7841707,496.9852642,521.3474957,553.4992727,554.2179898,617.5925605,616.8252691,629.2208458,620.2788363,585.4050671,591.2613075,650.8556794,676.7261379,666.8899463,701.5218721,732.7609186,720.1355198,735.8474293,722.7132969,722.5072672
        Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Albania,0.5,0.525,0.55,0.575,0.6,0.583,0.63,0.8,0.735,0.631,0.118,1.298,0.56,0.141,0.155,0.074,0.38,0.839,0.69,0.755,0.222,0.069,0.058,0.326,0,0,0,0,0,0.487,2.935,0,0,0,0.183,0.956,1.8686,0,1.764,0.77048
        Algeria,0.061,0.086,0.116,0.127,0.096,0.158,0.162,0.17,0.182,0.26,0.303,0.796,1.061,1.324,1.191,0.491,0.422,0.313,0.262,0.21,0.319,0.196,0.259,0.212,0.197,0.275,0.3,0.273,0.323,0.362,0.803,0.799,0.985,0.384,0.877,0.641,0.507,0.88,0.597,0.673
        American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Argentina,0.002,0.003,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.007,0.054,0.01,0.01,0.023,0.011,0.22,0.3,0.277,0,1.08,6.023,5.662,2.856,2.543,4.144,4.14,5.06,2.676,2.975,2.445,1.701,1.263,0.506,0.247,0.166,0.055,0.329,0.069,0.28,0.261
        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0.052,0.131,0,0,0,0.124,0.387,0.704,0.815,0.701,0.66,0.583,1.012,1.1511,0.7545,0.4513,0.36,0.336,1.061,1.383,1.696,1.313,1.314,1.424,1.229,1.44,1.627,1.251
        Aruba,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Austria,7.136,7.441,7.464,7.893,6.725,7.77,7.426,9.606,8.283,8.246,7.298,7.738,8.621,8.806,9,9.76,8.476,9.775,10.467,13.507,15.192,14.252,14.676,13.389,13.548,17.732,14.407,15.511,14.934,18.762,17.472,16.777,20.627,17.689,17.437,19.328,19.207,22.817,19.129,22.918265
