country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10898.18752,11354.86927,17854.85234,17790.51252,17101.90384,17852.68748,19210.14382,19205.77191,19736.98973,21398.13381,22977.04081,23948.05002,24755.53077,26612.6097,28861.65186,30899.90016,32486.74938,33269.40942,34724.12003,32118.33858,34593.19623,35786.45794,35739.97996,36577.29039,35238.27809,36438.78443,38737.30422,41463.33491,41715.3174,43647.29287
        Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.20926123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083,1158,1240.6159,1246.973,1116.31,1309.83,1432.02325,1721.2531,1868.1635,2123.1378,2213.5442,2065.2212,2077.9346,2125.2567,2149.62405,2305.01005,2175.404,2061.33655,2077.58145,1860.04105,1970.22385,1761.86535,1787.29215,1649.2105,1568.294287,1529.140529,1896.707855,1898.099254,1807.311531,1506.787037
        American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.257855,17.6575,0,32.136377,141.2588,187.33351,207.578182
        Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,23.66105,43.7906,120.42415,148.323,209.0648,206.2396,228.1349,274.39755,244.73295,216.8341,91.46585,33.54925,31.0772,14.8323,7.063,3.5315,3.072405,2.47205,2.8252,2.7545706,2.7192559,9.524857024,24.4111134
        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Aruba,--,--,--,--,--,--,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.6,168,201.08361,233.64,271.14857,323.62666,345.486645,338.211755,345.02755,357.31717,362.04938,344.10936,347.28771,375.89286,380.095345,508.571315,577.7534,688.35998,656.92963,740.096455,858.08387,958.484415,906.11227,1128.80866,1116.483725,1202.97016,2071.835757,2620.767453,3201.496506,3547.718293
        Austria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.57,0,0,0,0,0.63567,14.514465,18.85821,36.339135,52.937185,38.1402,92.31341,98.10507,70.453425,102.166295,175.338975,128.440655,225.3097,139.98866,89.311635,190.948205,244.9074445,192.2885415,183.617734,98.89037243
        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2032,189.9947,205.18015,192.46675,222.13135,215.06835,271.2192,274.39755,258.5058,255.1155888,283.6498664,320.7264367,409.16911
        Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
