country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254.9,2214.8,2265.1,2231.9,2266.2,2374.1,2491.9,NA,NA
        Afghanistan,NA,NA,NA,NA,NA,NA,0,0,0.03169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Albania,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,1.2,1.3,1.4,1.6,2.2,2.6,2.4,1.4,3.1,3.2,2.8,NA,NA
        Algeria,NA,NA,NA,NA,NA,NA,3.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        American Samoa,NA,NA,NA,NA,NA,NA,0,0,0,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.031780822,0.031693989,0.031780822,0.031780822,0.031780822,0.031693989,0.031780822,0.05,0.07,0,0.05,0.05,0,0,NA,NA
        Angola,NA,NA,NA,NA,NA,NA,0.09534,0.09534,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.9,0.8,0.8,0.8,1.2,1.4,1.6,1.9,2.4,0,0,0,0,0,0,NA,NA
        Antarctica,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Antigua and Barbuda,NA,NA,NA,NA,NA,NA,0.06356,0.06356,0.06338,0.06356,0.06356,0.06356,0.06338,0.06356,0.06356,0.06356,0.06338,0.06356,0.06356,0.063561644,0.063387978,0.063561644,0.063561644,0.063561644,0.063387978,0.063561644,0.095342466,0.095342466,0.098520548,0.1,0.1,0.1,0.1,NA,NA
        Argentina,NA,NA,NA,NA,NA,NA,1.4,2.6,1.5,0,0,0,1.6,0,0,6.4,0,0.8,1.7,0.095342466,1.3,1.5,0.8,0.6,0,0,0,0,0,0,0,0,0,NA,NA
        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0.3,0.1,0.03169,0.03169,0.03169,0.03178,0.03178,0.031780822,0.031693989,0.031780822,0.031780822,0.031780822,0.031693989,0.031780822,0.03,0.4,0.3,0.2,0.3,0.2,0.2,NA,NA
        Aruba,--,--,--,--,--,--,0,0,0,0.2,0.03178,0.06356,0.09508,0.09534,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.3,0.3,0.3,0.3,0.3,NA,NA
        Australia,0,0,0.030346975,0.030346975,0.091060014,0.060719403,0.4,0.4,0.5,1.3,1,0.5,1,2.4,3.5,5.5,9.2,9.1,8.5,7.7,10,8.7,9,7.2,10,8.4,13,12,16,18,17,15,26,22,NA
        Austria,1.024498341,0.9,0.8,1.6,3,3.3,2.3,2.2,4.2,2.5,5.1,4.5,4.6,5.1,4.9,3.8,4.7,4.7,4.1,4.8,5,4.6,4.9,4.2,3.9,4.1,4.7,3.9,3.4,3,3.6,2.9,2.5,2,NA
        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0.06356,0,0.7,0.3,0.7,1,0,0,0,0,0,0,0,0,0,NA,NA
        Bahrain,NA,NA,NA,NA,NA,NA,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Bangladesh,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.03178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Barbados,NA,NA,NA,NA,NA,NA,0.3,0.3,0,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA
        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0,3.9,5,4.6,3.6,5.5,5.5,3.7,4,3.3,2,2.7,1,1,1,1.6,0.9,0.8,1.8,0.031780822,0.2,NA,NA
        Belgium,NA,NA,NA,NA,NA,NA,6.6,7,5.5,6.2,4.8,13,19,18,15,17,16,18,14,11,11,7.2,5,4.1,5.9,6.5,8.1,6.5,38,36,23,43,48,56,NA
        Belize,NA,NA,NA,NA,NA,NA,0.00602,0.1,0.09099,0.09534,0.08,0.09534,0.09508,0.09534,0.09534,0.1,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA
        Benin,NA,NA,NA,NA,NA,NA,0.02005,0.02335,0,0,0,0,0,0,0,0,0,0.03178,0,0,0.063387978,0.063561644,0.063561644,0.3,0.3,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.3,NA,NA
        Bermuda,NA,NA,NA,NA,NA,NA,0.09534,0.09534,0.09508,0.09534,0.1,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.2,0.1,0.095342466,0.063561644,0.095342466,0.095081967,NA,NA
        Bhutan,NA,NA,NA,NA,NA,NA,0.06356,0.06356,0.06338,0.06356,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.09534,0.09534,0.095342466,0.095081967,0.095342466,0.095342466,0.095342466,0.1,0.095342466,0.1,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA
        Bolivia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095342466,0.7,1.1,1.2,NA,NA
        Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.095342466,1.6,1.7,1.8,NA,NA
        Botswana,NA,NA,NA,NA,NA,NA,0.1,0,0.04631,0.2,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.9,1,1,1,0.9,1,1,1,1,1,1,1,1,NA,NA
        Brazil,NA,NA,NA,NA,NA,NA,18,22,40,40,40,47,48,53,54,73,77,80,87,92,89,66,58,35,32,30,27,38,38,44,54,58,49,NA,NA
        British Virgin Islands,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Brunei,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Bulgaria,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.2,0.3,0,0.03178,0,0.03178,0,0.031780822,3.9,5.5,7.4,8.5,7.4,7.3,8.9,7.9,7.5,8.5,8.8,8.5,9.1,NA,NA
