country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    World,284893.825,295075.0726,305528.5983,300277.8909,346752.6247,380114.2221,376362.3999,381785.9821,412764.8901,421321.2462,461948.8629,481583.733,481679.269,470140.3163,495328.2606,520471.8594,544436.8158,572751.0803,580554.0446,604695.1534,659093.7895,720444.8116,749989.5835,816229.0144,869640.9118,904949.7082,970965.3019,1034387.186,1045052.288,1056183.567,1208182.104,1294490.471,1432676.142,1527545.114,1557008.663,1447685.655,1458766.353,1535499.315,1588169.211,1608760.005
        Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Albania,176.3696,165.3465,209.4389,220.462,231.4851,242.5082,248.01975,253.5313,264.5544,236.99665,184.636925,118.498325,104.71945,70.06557937,50.4306825,6.61386,5.540278954,4.466697909,4.639071635,2.319535817,2.491909544,2.66428327,1.7085805,3.43369565,6.60724614,4.40703538,53.64391615,107.9392975,112.9966958,100.0328976,71.33848313,100.04624,109.7993046,112.4656028,146.7085431,123.3823057,89.68947822,85.54339,87.6659504,104.0863614
        Algeria,99.06257471,297.1877241,804.6335656,1308.762338,1349.485948,1349.484883,1376.633601,1396.994874,1417.356146,1437.717419,1335.258044,1232.798669,1139.243484,886.0912077,900.58727,529.1088,562.4808186,608.47512,692.25068,696.65992,649.5097096,602.96357,347.8538056,407.6567031,420.6988161,415.460639,275.0942808,281.2584881,287.6757045,183.2029833,1.867289702,2.204115328,17.38277164,50.51921343,33.50170425,23.15455286,23.06874575,37.08419816,16.47184589,16.26885219
        American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Argentina,959.0097,778.23086,805.78861,528.00649,594.14509,842.16484,1275.37267,1215.84793,1266.55419,1384.50136,1359.14823,972.23742,1093.49152,1065.93377,1409.85449,1272.06574,1156.32319,971.13511,1091.2869,1024.04599,880.74569,876.33645,910.5197842,957.5620142,1631.373735,1714.703159,1563.161129,1825.188248,2046.618877,1362.181547,1883.744563,2296.447364,1913.668468,1845.672242,2205.260742,2137.98541,1729.270358,1665.334123,1330.701084,836.3716906
        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,155.4259,97.554555,39.68321,22.597385,17.77303875,12.9486925,8.12434625,3.3,2.686957914,2.073915829,1.98416,3.011503316,1.748915829,0.76500314,1.23348489,3.0093063,2.76459348,0.39462698,2.56176844,3.32126003,2.9211215,1.394585292,1.14750471,1.243250254,1.322684918,1.8059,2.08906815,4.842190992
        Aruba,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Australia,0,0,0,0,0,0,0,0,28.37107,26.5994,17.47466,7.59817,1.51698,17.26157,24.63422,32.0372,61.20038,89.25301,26.36982,18.15582,22.41375,22.16847,64.37123,82.64829,99.85253,112.0677,94.9513,96.25739,77.98928,41.57354,79.01148,61.7881,16.58489,48.07188,91.95112,52.9464,46.49102,61.05891522,84.83598222,135.3261895
        Austria,3485.50422,3602.34908,3836.0388,3725.8078,4459.94626,4390.50073,4450.02547,4691.43136,4341.99909,4166.7318,4017.91995,4233.97271,4226.25654,3515.26659,3344.40854,3332.28313,4166.7318,4195.39186,4139.17405,3716.98932,3817.29953,4183.26645,4509.55021,4444.51392,4130.359869,4636.555833,4696.94291,5009.99895,4619.677703,4612.395292,3604.002104,3810.359937,3786.621692,3612.750146,3605.796995,3451.347822,3776.493337,4050.523855,3856.313808,4103.240397
        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,29.76241,4.40925,1.10231,6.61387,2.204625,3.413032337,4.621439675,4.908867007,5.19629434,2.62900935,6.23686998,3.77871868,4.94606497,5.32195268,18.15063646,13.10095435,12.34256507,7.02281701,8.2232326,6.23135843,6.48599204,5.99215716,2.265650495,0.178009837,0.38774,2.235557432,2.949403068,13.7724309
        Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bangladesh,25.904285,27.116826,33.0693,17.967653,68.34322,58.47161802,67.23498433,73.97678361,80.71858289,85.90954848,94.25393617,84.30246418,186.29039,225.1715315,264.9288051,287.2033253,336.1142719,490.8312748,739.1115536,1014.280626,1413.927517,1104.436356,1173.462964,1392.281215,1192.967273,1484.899905,1680.0394,1727.309872,1558.096843,1934.002401,1636.843886,1753.110933,1583.334914,1863.487022,2583.899924,3560.235764,3150.589979,3804.128444,4630.483467,8076.069085
        Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,966.574353,954.987763,863.3488279,939.088728,964.6633788,866.41673,789.25505,708.78631,631.62451,255.3390884,316.2836037,255.4856956,271.9916856,152.8407931,112.2283857,81.59408851,51.80874,76.15749559,60.53335365,129.2019861,457.3925114,645.5661815,861.3036279,746.26387,781.24581,839.4086891,1821.478561,4425.422656
        Belgium,11281.04054,11202.77653,11660.23518,8386.37448,10489.58196,10579.97138,9676.07718,10358.40707,12446.18221,14247.35675,16575.43547,16200.65007,15716.73598,13359.9972,14187.83201,15756.41914,14375.22471,14346.56465,14142.6373,12119.89845,12507.91157,13978.39311,10919.48286,10350.6909,10791.6149,9704.73724,8880.20936,8173.62865,8191.26561,5297.70186,6916.99525,6544.41447,5923.81394,5911.68853,5770.59285,4517.376611,3897.327236,3793.710096,4227.689543,4087.145018
        Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.598215307,1.713949852,0.110231,0.054343883,2.854112075,1.712595113,1.401979587,42.4789709,45.87862391,87.77584299,83.6337368,132.0776819,129.8963206
